Index,Resource Center Name,Address,Borough,Description,Lat,Long,Website,Category,Sub-category Short Description,Sub-category,Location Specific,Test Prep,After School Program,Crime,Economic Help
0,Exam Schools Partnership Initative (ESPI),Harlem,Manhattan,"The Exam Schools Partnership Initiative (ESPI) is a multi-year program starting in the 5th grade that provides mentoring, academic enrichment and high quality, intensive test preparation to low-income students in New York City.",40.7447215,-73.9936412,espi.nyc,Test Prep u0026 Tutoring,Provides Education support to talented kids from low-income background,Economically low,,1,0,0,1
1,RQM Tutorial,"29-10 36th Ave, Astoria, NY 11106",Queens,"RQM Tutorial provides low cost, high quality tutoring, focusing on students in Queens. Their SHSAT tutoring is individualized for each student, with one on one instruction, free online videos, and additional support all with a money back guarantee. Students in Queens can sign up for tutoring at their Astoria or Jamaica-based offices.",40.757083,-73.931165,rqmtutorial.com,Test Prep u0026 Tutoring,Student tutoring|Preparation of Standarized Entrance Tests,Economically low,Queens,1,0,0,1
2,RQM Tutorial,"89-16 175 Street, S Jamaica 11432",Queens,"RQM Tutorial provides low cost, high quality tutoring, focusing on students in Queens. Their SHSAT tutoring is individualized for each student, with one on one instruction, free online videos, and additional support all with a money back guarantee. Students in Queens can sign up here for tutoring at their Astoria or Jamaica-based offices.",40.7101241,-73.7868633,rqmtutorial.com,Test Prep u0026 Tutoring,Student tutoring|Preparation of Standarized Entrance Tests,Economically low,Queens,1,0,0,1
3,School Plus,"2 Russell Pl, Flushing, NY 11375",Queens,"School Plus offers a Weekend Enrichment Program for K-12th students with an alternative, refreshing perspectives on school subjects built to give students the confidence and desire to explore beyond. Check out their comprehensive SHSAT program (weekly classes from September of 7th grade to October of 8th grade) and practice exams.",40.715537,-73.843379,school-plus.com,Test Prep u0026 Tutoring,Weekend En-richment Program|Preparation of Standarized Entrance Tests,,,1,0,0,0
4,School Plus,"50 Avenue X, Brooklyn, NY, 11223",Brooklyn,"School Plus offers a Weekend Enrichment Program for K-12th students with an alternative, refreshing perspectives on school subjects built to give students the confidence and desire to explore beyond. Check out their comprehensive SHSAT program (weekly classes from September of 7th grade to October of 8th grade) and practice exams.",40.5876721,-73.9814689,school-plus.com,Test Prep u0026 Tutoring,Weekend En-richment Program|Preparation of Standarized Entrance Tests,,,1,0,0,0
5,School Plus,"8787 24th Ave, Brooklyn, 11214",Brooklyn,"School Plus offers a Weekend Enrichment Program for K-12th students with an alternative, refreshing perspectives on school subjects built to give students the confidence and desire to explore beyond. Check out their comprehensive SHSAT program (weekly classes from September of 7th grade to October of 8th grade) and practice exams.",40.5943634,-73.9939373,school-plus.com,Test Prep u0026 Tutoring,Weekend En-richment Program|Preparation of Standarized Entrance Tests,,,1,0,0,0
6,School Plus,"2800 Victory Blvd Building 2N, SI, NY 10314",Staten Island,"School Plus offers a Weekend Enrichment Program for K-12th students with an alternative, refreshing perspectives on school subjects built to give students the confidence and desire to explore beyond. Check out their comprehensive SHSAT program (weekly classes from September of 7th grade to October of 8th grade) and practice exams.",40.6080198,-74.1573397,school-plus.com,Test Prep u0026 Tutoring,Weekend En-richment Program|Preparation of Standarized Entrance Tests,,,1,0,0,0
7,School Plus,"100 Luten Ave, SI, NY 10312",Staten Island,"School Plus offers a Weekend Enrichment Program for K-12th students with an alternative, refreshing perspectives on school subjects built to give students the confidence and desire to explore beyond. Check out their comprehensive SHSAT program (weekly classes from September of 7th grade to October of 8th grade) and practice exams.",40.528303,-74.193519,school-plus.com,Test Prep u0026 Tutoring,Weekend En-richment Program|Preparation of Standarized Entrance Tests,,,1,0,0,0
8,School Plus,"560 Lincoln Ave, SI, NY 10306",Staten Island,"School Plus offers a Weekend Enrichment Program for K-12th students with an alternative, refreshing perspectives on school subjects built to give students the confidence and desire to explore beyond. Check out their comprehensive SHSAT program (weekly classes from September of 7th grade to October of 8th grade) and practice exams.",40.5716599,-74.0946412,school-plus.com,Test Prep u0026 Tutoring,Weekend En-richment Program|Preparation of Standarized Entrance Tests,,,1,0,0,0
9,School Plus,"333 Midland Ave, SI, NY 10306",Staten Island,"School Plus offers a Weekend Enrichment Program for K-12th students with an alternative, refreshing perspectives on school subjects built to give students the confidence and desire to explore beyond. Check out their comprehensive SHSAT program (weekly classes from September of 7th grade to October of 8th grade) and practice exams.",40.5770938,-74.1001504,school-plus.com,Test Prep u0026 Tutoring,Weekend En-richment Program|Preparation of Standarized Entrance Tests,,,1,0,0,0
10,School Plus,"560 Lincoln Ave, SI, NY 10306",Staten Island,"School Plus offers a Weekend Enrichment Program for K-12th students with an alternative, refreshing perspectives on school subjects built to give students the confidence and desire to explore beyond. Check out their comprehensive SHSAT program (weekly classes from September of 7th grade to October of 8th grade) and practice exams.",40.5716599,-74.0946412,school-plus.com,Test Prep u0026 Tutoring,Weekend En-richment Program|Preparation of Standarized Entrance Tests,,,1,0,0,0
11,School Plus,"3041 Broadway, New York, NY 10027",Manhattan,"School Plus offers a Weekend Enrichment Program for K-12th students with an alternative, refreshing perspectives on school subjects built to give students the confidence and desire to explore beyond. Check out their comprehensive SHSAT program (weekly classes from September of 7th grade to October of 8th grade) and practice exams.",40.8115497,-73.961759,school-plus.com,Test Prep u0026 Tutoring,Weekend En-richment Program|Preparation of Standarized Entrance Tests,,,1,0,0,0
12,Greenhouse Arts Center ,"540 Lenox Ave, New York, NY 10037",Manhattan,"Greenhouse Arts Center is an arts community center in Harlem where creativity thrives and the arts are a vehicle for the community to grow together! They offer dance, music, and theater classes--to inspire young people, empower and equip families, and meet needs in the local community.",40.81554,-73.9397294,greenhouseartscenter.org,Community,Extra Curricular Activities,,Harlem,0,0,0,0
13,JCC Harlem,"334 Amsterdam Ave, New York, NY 10023",Manhattan,"JCC Harlem is a brand new 6,000 square foot space that seeks to create a hub of Jewish life for Harlemu0027s growing and vibrant Jewish community, hosting holiday celebrations as well as weekly, monthly, and one-time programming for people of all ages and from all walks of life.",40.7811447,-73.9802025,jccmanhattan.org,Community,,,Harlem,0,0,0,0
14,Citizen Schools,"160 East 120th Street New York, NY 10035",Manhattan,Citizen Schools is a national nonprofit organization that partners with middle schools to expand the learning day for children in low-income communities. They mobilize a team of AmeriCorps educators and volunteer xe2x80x9cCitizen Teachersxe2x80x9d to teach real-world learning projects and provide academic support in order to help all students discover and achieve their dreams.,40.8006309,-73.9393226,citizenschools.org,Test Prep u0026 Tutoring,After School program to expand learning day,Economically low,,0,1,0,1
